C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_10_532.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_10_532.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_10_532.jpg, 0, 0, 0, 7.808943E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_10_641.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_10_641.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_10_641.jpg, 0, 0, 0, 7.783524E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_10_742.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_10_742.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_10_742.jpg, 0, 0, 0, 7.809991E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_10_843.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_10_843.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_10_843.jpg, 0, 0, 0, 7.795884E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_10_946.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_10_946.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_10_946.jpg, 0, 0, 0, 7.86237E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_11_048.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_11_048.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_11_048.jpg, 0, 0, 0, 7.792882E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_11_149.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_11_149.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_11_149.jpg, 0, 0, 0, 7.771576E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_11_250.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_11_250.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_11_250.jpg, 0, 0, 0, 7.898067E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_11_351.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_11_351.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_11_351.jpg, 0, 0, 0, 7.923903E-05
C:\Users\baygen\Desktop\Data\IMG\center_2020_03_31_14_00_11_452.jpg, C:\Users\baygen\Desktop\Data\IMG\left_2020_03_31_14_00_11_452.jpg, C:\Users\baygen\Desktop\Data\IMG\right_2020_03_31_14_00_11_452.jpg, 0, 0, 0, 7.800887E-05
